DATE,GDPC1
1972-01-01,5632.649
1972-04-01,5760.47
1972-07-01,5814.854
1972-10-01,5912.22
1973-01-01,6058.544
1973-04-01,6124.506
1973-07-01,6092.301
1973-10-01,6150.131
1974-01-01,6097.258
1974-04-01,6111.751
1974-07-01,6053.978
1974-10-01,6030.464
1975-01-01,5957.035
1975-04-01,5999.61
1975-07-01,6102.326
1975-10-01,6184.53
1976-01-01,6323.649
1976-04-01,6370.025
1976-07-01,6404.895
1976-10-01,6451.177
1977-01-01,6527.703
1977-04-01,6654.466
1977-07-01,6774.457
1977-10-01,6774.592
1978-01-01,6796.26
1978-04-01,7058.92
1978-07-01,7129.915
1978-10-01,7225.75
1979-01-01,7238.727
1979-04-01,7246.454
1979-07-01,7300.281
1979-10-01,7318.535
1980-01-01,7341.557
1980-04-01,7190.289
1980-07-01,7181.743
1980-10-01,7315.677
1981-01-01,7459.022
1981-04-01,7403.745
1981-07-01,7492.405
1981-10-01,7410.768
1982-01-01,7295.631
1982-04-01,7328.912
1982-07-01,7300.896
1982-10-01,7303.817
1983-01-01,7400.066
1983-04-01,7568.456
1983-07-01,7719.746
1983-10-01,7880.794
1984-01-01,8034.847
1984-04-01,8173.67
1984-07-01,8252.465
1984-10-01,8320.199
1985-01-01,8400.82
1985-04-01,8474.787
1985-07-01,8604.22
1985-10-01,8668.188
1986-01-01,8749.127
1986-04-01,8788.524
1986-07-01,8872.601
1986-10-01,8920.193
1987-01-01,8986.367
1987-04-01,9083.256
1987-07-01,9162.024
1987-10-01,9319.332
1988-01-01,9367.502
1988-04-01,9490.594
1988-07-01,9546.206
1988-10-01,9673.405
1989-01-01,9771.725
1989-04-01,9846.293
1989-07-01,9919.228
1989-10-01,9938.767
1990-01-01,10047.386
1990-04-01,10083.855
1990-07-01,10090.569
1990-10-01,9998.704
1991-01-01,9951.916
1991-04-01,10029.51
1991-07-01,10080.195
1991-10-01,10115.329
1992-01-01,10236.435
1992-04-01,10347.429
1992-07-01,10449.673
1992-10-01,10558.648
1993-01-01,10576.275
1993-04-01,10637.847
1993-07-01,10688.606
1993-10-01,10833.987
1994-01-01,10939.116
1994-04-01,11087.361
1994-07-01,11152.176
1994-10-01,11279.932
1995-01-01,11319.951
1995-04-01,11353.721
1995-07-01,11450.31
1995-10-01,11528.067
1996-01-01,11614.418
1996-04-01,11808.14
1996-07-01,11914.063
1996-10-01,12037.775
1997-01-01,12115.472
1997-04-01,12317.221
1997-07-01,12471.01
1997-10-01,12577.495
1998-01-01,12703.742
1998-04-01,12821.339
1998-07-01,12982.752
1998-10-01,13191.67
1999-01-01,13315.597
1999-04-01,13426.748
1999-07-01,13604.771
1999-10-01,13827.98
2000-01-01,13878.147
2000-04-01,14130.908
2000-07-01,14145.312
2000-10-01,14229.765
2001-01-01,14183.12
2001-04-01,14271.694
2001-07-01,14214.516
2001-10-01,14253.574
2002-01-01,14372.785
2002-04-01,14460.848
2002-07-01,14519.633
2002-10-01,14537.58
2003-01-01,14614.141
2003-04-01,14743.567
2003-07-01,14988.782
2003-10-01,15162.76
2004-01-01,15248.68
2004-04-01,15366.85
2004-07-01,15512.619
2004-10-01,15670.88
2005-01-01,15844.727
2005-04-01,15922.782
2005-07-01,16047.587
2005-10-01,16136.734
2006-01-01,16353.835
2006-04-01,16396.151
2006-07-01,16420.738
2006-10-01,16561.866
2007-01-01,16611.69
2007-04-01,16713.314
2007-07-01,16809.587
2007-10-01,16915.191
2008-01-01,16843.003
2008-04-01,16943.291
2008-07-01,16854.295
2008-10-01,16485.35
2009-01-01,16298.262
2009-04-01,16269.145
2009-07-01,16326.281
2009-10-01,16502.754
2010-01-01,16582.71
2010-04-01,16743.162
2010-07-01,16872.266
2010-10-01,16960.864
2011-01-01,16920.632
2011-04-01,17035.114
2011-07-01,17031.313
2011-10-01,17222.583
2012-01-01,17367.01
2012-04-01,17444.525
2012-07-01,17469.65
2012-10-01,17489.852
2013-01-01,17662.4
2013-04-01,17709.671
2013-07-01,17860.45
2013-10-01,18016.147
2014-01-01,17953.974
2014-04-01,18185.911
2014-07-01,18406.941
2014-10-01,18500.031
2015-01-01,18666.621
2015-04-01,18782.243
2015-07-01,18857.418
2015-10-01,18892.206
2016-01-01,19001.69
2016-04-01,19062.709
2016-07-01,19197.938
2016-10-01,19304.352
2017-01-01,19398.343
2017-04-01,19506.949
2017-07-01,19660.766
2017-10-01,19882.352
2018-01-01,20044.077
2018-04-01,20150.476
2018-07-01,20276.154
2018-10-01,20304.874
2019-01-01,20415.15
2019-04-01,20584.528
2019-07-01,20817.581
2019-10-01,20951.088
2020-01-01,20665.553
2020-04-01,19034.83
2020-07-01,20511.785
2020-10-01,20724.128
2021-01-01,20990.541
2021-04-01,21309.544
2021-07-01,21483.083
2021-10-01,21847.602
2022-01-01,21738.871
2022-04-01,21708.16
2022-07-01,21851.134
2022-10-01,21989.981
2023-01-01,22112.329
2023-04-01,22225.35
2023-07-01,22491.567
